Re,qv,z_top_max,sigma_max_max,T_out_max,T_out_min,unbalance_rate,LCOE
8588.96,0.79,0.33,1247.94,18.1,8.21,0.52,1.06
20250.48,2.31,0.32,1213.03,26.02,-0.88,0.53,1.58
10408.78,0.77,0.33,1248.35,28.42,-3.53,0.53,0.83
3920.03,0.29,0.33,1249.45,23.23,2.71,0.53,0.73
5075.32,0.72,0.33,1245.13,18.27,7.48,0.53,1.46
10407.81,0.47,0.33,1252.15,17.96,8.84,0.52,1.45
9156.76,0.41,0.51,1910.77,41.31,-17.96,0.53,0.67
13923.11,1.28,0.33,1236.32,20.54,5.15,0.53,1.08
22388.48,3.19,0.5,1861.38,38.27,-15.35,0.53,1.47
13983.14,0.63,0.33,1222.94,23.64,2.06,0.53,0.74
1791.02,0.08,0.33,1231.22,25.45,1.41,0.53,0.67
22522.49,3.21,0.33,1242.0,19.05,6.65,0.53,6.14
6465.23,0.37,0.33,1247.58,18.13,7.92,0.53,0.86
4242.77,0.39,0.34,1265.78,19.0,6.8,0.53,0.88
22559.15,2.07,0.51,1923.03,38.97,-16.15,0.53,1.12
29838.78,4.25,0.51,1929.35,37.03,-13.96,0.53,2.16
10297.49,0.59,0.33,1239.93,19.84,5.92,0.53,0.87
24447.25,2.24,0.33,1243.02,18.49,7.21,0.53,1.81
28665.04,4.08,0.34,1262.99,19.62,6.06,0.53,2.6
31212.56,3.57,0.33,1245.71,19.87,5.83,0.53,1.97
7197.96,0.42,0.33,1241.94,20.08,5.73,0.53,0.81
13151.64,0.59,0.33,1229.56,22.18,3.59,0.53,0.89
7286.29,0.33,0.33,1247.87,18.12,7.89,0.53,0.93
19140.46,1.41,0.33,1253.99,17.99,8.95,0.52,1.31
2666.24,0.12,0.33,1249.65,18.4,7.65,0.53,0.89
14028.69,0.63,0.87,3258.5,60.55,-40.96,0.54,0.68
3206.93,0.18,0.77,2883.75,60.84,-38.07,0.54,0.63
25539.59,2.92,0.32,1208.24,26.38,-1.33,0.53,1.58
11560.49,0.85,0.33,1252.98,17.98,8.82,0.52,1.0
19488.47,1.43,0.33,1243.86,18.8,6.92,0.53,1.3
6874.07,0.98,0.33,1248.7,18.08,8.33,0.52,1.93
10106.22,0.58,0.61,2269.03,45.25,-22.87,0.54,0.7
9711.17,0.44,0.53,1986.54,39.63,-16.15,0.53,0.67
26016.62,2.97,0.33,1252.4,18.0,8.68,0.52,2.37
38322.16,4.38,0.68,2539.69,48.33,-27.48,0.54,1.54
23202.95,1.71,0.32,1202.09,28.22,-3.53,0.53,1.01
9825.22,1.4,0.33,1251.89,17.98,8.8,0.52,3.07
15385.43,1.41,0.59,2209.05,42.49,-20.26,0.53,0.85
8581.63,0.49,0.34,1266.64,18.11,8.06,0.53,0.85
10926.74,0.49,0.33,1249.67,18.06,8.32,0.52,1.33
15121.85,1.73,0.33,1240.63,19.26,6.44,0.53,1.8
13945.02,1.03,0.33,1241.95,23.01,2.64,0.53,0.81
6522.14,0.38,0.33,1233.76,21.79,4.06,0.53,0.86
6836.27,0.31,0.33,1241.92,21.59,4.29,0.53,0.71
10581.97,0.97,0.33,1243.22,18.56,7.15,0.53,1.09
5701.7,0.26,0.32,1210.79,28.1,-2.42,0.53,0.77
8838.58,0.4,24.8,93015.21,1346.44,-1527.97,0.54,0.63
37064.55,4.23,0.33,1239.58,19.38,6.29,0.53,2.61
11026.35,0.64,0.47,1770.25,38.41,-14.95,0.53,0.69
25448.83,2.33,0.33,1251.71,17.99,8.79,0.52,2.53
